Date,Open,High,Low,Close,Volume,Adj Close
2000-05-17,448.35,448.35,448.35,448.35,1000000,448.35
2000-05-18,450.0,450.0,450.0,450.0,1000000,450.0
2000-05-19,450.001,450.001,450.001,450.001,1000000,450.001
2000-05-20,450.085,450.085,450.085,450.085,1000000,450.085
2000-05-21,449.572,449.572,449.572,449.572,1000000,449.572
2000-05-22,449.998,449.998,449.998,449.998,1000000,449.998
2000-05-23,448.497,448.497,448.497,448.497,1000000,448.497
2000-05-24,449.0,449.0,449.0,449.0,1000000,449.0
2000-05-25,450.001,450.001,450.001,450.001,1000000,450.001
2000-05-26,453.338,453.338,453.338,453.338,1000000,453.338
2000-05-27,453.436,453.436,453.436,453.436,1000000,453.436
2000-05-28,454.932,454.932,454.932,454.932,1000000,454.932
2000-05-29,454.5,454.5,454.5,454.5,1000000,454.5
2000-05-30,453.436,453.436,453.436,453.436,1000000,453.436
2000-05-31,452.011,452.011,452.011,452.011,1000000,452.011
2000-06-01,452.994,452.994,452.994,452.994,1000000,452.994
2000-06-02,452.638,452.638,452.638,452.638,1000000,452.638
2000-06-03,454.873,454.873,454.873,454.873,1000000,454.873
2000-06-04,454.0,454.0,454.0,454.0,1000000,454.0
2000-06-05,451.585,451.585,451.585,451.585,1000000,451.585
2000-06-06,454.269,454.269,454.269,454.269,1000000,454.269
2000-06-07,452.1,452.1,452.1,452.1,1000000,452.1
2000-06-08,452.99,452.99,452.99,452.99,1000000,452.99
2000-06-09,452.9,452.9,452.9,452.9,1000000,452.9
2000-06-10,452.0,452.0,452.0,452.0,1000000,452.0
2000-06-11,453.5,453.5,453.5,453.5,1000000,453.5
2000-06-12,451.0,451.0,451.0,451.0,1000000,451.0
2000-06-13,451.287,451.287,451.287,451.287,1000000,451.287
2000-06-14,452.02,452.02,452.02,452.02,1000000,452.02
2000-06-15,450.172,450.172,450.172,450.172,1000000,450.172
2000-06-16,454.999,454.999,454.999,454.999,1000000,454.999
2000-06-17,458.98,458.98,458.98,458.98,1000000,458.98
2000-06-18,458.704,458.704,458.704,458.704,1000000,458.704
2000-06-19,458.0,458.0,458.0,458.0,1000000,458.0
2000-06-20,459.5,459.5,459.5,459.5,1000000,459.5
2000-06-21,462.99,462.99,462.99,462.99,1000000,462.99
2000-06-22,460.177,460.177,460.177,460.177,1000000,460.177
2000-06-23,463.0,463.0,463.0,463.0,1000000,463.0
2000-06-24,460.91,460.91,460.91,460.91,1000000,460.91
2000-06-25,461.0,461.0,461.0,461.0,1000000,461.0
2000-06-26,463.484,463.484,463.484,463.484,1000000,463.484
2000-06-27,465.0,465.0,465.0,465.0,1000000,465.0
2000-06-28,466.989,466.989,466.989,466.989,1000000,466.989
2000-06-29,464.415,464.415,464.415,464.415,1000000,464.415
2000-06-30,462.418,462.418,462.418,462.418,1000000,462.418
2000-07-01,462.42,462.42,462.42,462.42,1000000,462.42
2000-07-02,462.985,462.985,462.985,462.985,1000000,462.985
2000-07-03,457.064,457.064,457.064,457.064,1000000,457.064
2000-07-04,460.421,460.421,460.421,460.421,1000000,460.421
2000-07-05,459.874,459.874,459.874,459.874,1000000,459.874
2000-07-06,458.971,458.971,458.971,458.971,1000000,458.971
2000-07-07,458.128,458.128,458.128,458.128,1000000,458.128
2000-07-08,460.234,460.234,460.234,460.234,1000000,460.234
2000-07-09,461.367,461.367,461.367,461.367,1000000,461.367
2000-07-10,462.014,462.014,462.014,462.014,1000000,462.014
2000-07-11,463.0,463.0,463.0,463.0,1000000,463.0
2000-07-12,462.9,462.9,462.9,462.9,1000000,462.9
2000-07-13,462.95,462.95,462.95,462.95,1000000,462.95
2000-07-14,462.41,462.41,462.41,462.41,1000000,462.41
2000-07-15,460.01,460.01,460.01,460.01,1000000,460.01
2000-07-16,461.772,461.772,461.772,461.772,1000000,461.772
2000-07-17,460.693,460.693,460.693,460.693,1000000,460.693
2000-07-18,460.798,460.798,460.798,460.798,1000000,460.798
2000-07-19,461.0,461.0,461.0,461.0,1000000,461.0
2000-07-20,461.0,461.0,461.0,461.0,1000000,461.0
2000-07-21,461.799,461.799,461.799,461.799,1000000,461.799
2000-07-22,461.104,461.104,461.104,461.104,1000000,461.104
2000-07-23,462.5,462.5,462.5,462.5,1000000,462.5
2000-07-24,462.029,462.029,462.029,462.029,1000000,462.029
2000-07-25,465.0,465.0,465.0,465.0,1000000,465.0
2000-07-26,465.1,465.1,465.1,465.1,1000000,465.1
2000-07-27,467.4,467.4,467.4,467.4,1000000,467.4
2000-07-28,469.1,469.1,469.1,469.1,1000000,469.1
2000-07-29,469.0,469.0,469.0,469.0,1000000,469.0
2000-07-30,467.158,467.158,467.158,467.158,1000000,467.158
2000-07-31,469.0,469.0,469.0,469.0,1000000,469.0
2000-08-01,469.0,469.0,469.0,469.0,1000000,469.0
2000-08-02,468.041,468.041,468.041,468.041,1000000,468.041
2000-08-03,468.999,468.999,468.999,468.999,1000000,468.999
2000-08-04,468.037,468.037,468.037,468.037,1000000,468.037
2000-08-05,466.13,466.13,466.13,466.13,1000000,466.13
2000-08-06,463.429,463.429,463.429,463.429,1000000,463.429
2000-08-07,463.0,463.0,463.0,463.0,1000000,463.0
2000-08-08,463.502,463.502,463.502,463.502,1000000,463.502
2000-08-09,465.999,465.999,465.999,465.999,1000000,465.999
2000-08-10,466.14,466.14,466.14,466.14,1000000,466.14
2000-08-11,467.878,467.878,467.878,467.878,1000000,467.878
2000-08-12,466.311,466.311,466.311,466.311,1000000,466.311
2000-08-13,468.0,468.0,468.0,468.0,1000000,468.0
2000-08-14,468.0,468.0,468.0,468.0,1000000,468.0
2000-08-15,467.0,467.0,467.0,467.0,1000000,467.0
2000-08-16,465.014,465.014,465.014,465.014,1000000,465.014
2000-08-17,463.506,463.506,463.506,463.506,1000000,463.506
2000-08-18,464.0,464.0,464.0,464.0,1000000,464.0
2000-08-19,465.014,465.014,465.014,465.014,1000000,465.014
2000-08-20,462.54,462.54,462.54,462.54,1000000,462.54
2000-08-21,463.1,463.1,463.1,463.1,1000000,463.1
2000-08-22,463.8,463.8,463.8,463.8,1000000,463.8
2000-08-23,464.777,464.777,464.777,464.777,1000000,464.777
2000-08-24,462.006,462.006,462.006,462.006,1000000,462.006
2000-08-25,461.136,461.136,461.136,461.136,1000000,461.136
2000-08-26,462.5,462.5,462.5,462.5,1000000,462.5
2000-08-27,462.288,462.288,462.288,462.288,1000000,462.288
2000-08-28,461.887,461.887,461.887,461.887,1000000,461.887
2000-08-29,460.864,460.864,460.864,460.864,1000000,460.864
2000-08-30,459.9,459.9,459.9,459.9,1000000,459.9
2000-08-31,458.99,458.99,458.99,458.99,1000000,458.99
2000-09-01,457.916,457.916,457.916,457.916,1000000,457.916
2000-09-02,458.997,458.997,458.997,458.997,1000000,458.997
2000-09-03,456.569,456.569,456.569,456.569,1000000,456.569
2000-09-04,456.568,456.568,456.568,456.568,1000000,456.568
2000-09-05,457.0,457.0,457.0,457.0,1000000,457.0
2000-09-06,457.917,457.917,457.917,457.917,1000000,457.917
2000-09-07,456.99,456.99,456.99,456.99,1000000,456.99
2000-09-08,457.989,457.989,457.989,457.989,1000000,457.989
2000-09-09,458.9,458.9,458.9,458.9,1000000,458.9
2000-09-10,459.99,459.99,459.99,459.99,1000000,459.99
2000-09-11,458.0,458.0,458.0,458.0,1000000,458.0
2000-09-12,459.133,459.133,459.133,459.133,1000000,459.133
2000-09-13,460.385,460.385,460.385,460.385,1000000,460.385
2000-09-14,460.358,460.358,460.358,460.358,1000000,460.358
2000-09-15,460.784,460.784,460.784,460.784,1000000,460.784
2000-09-16,458.995,458.995,458.995,458.995,1000000,458.995
2000-09-17,459.0,459.0,459.0,459.0,1000000,459.0
2000-09-18,457.5,457.5,457.5,457.5,1000000,457.5
2000-09-19,458.162,458.162,458.162,458.162,1000000,458.162
2000-09-20,459.0,459.0,459.0,459.0,1000000,459.0
2000-09-21,457.5,457.5,457.5,457.5,1000000,457.5
2000-09-22,458.928,458.928,458.928,458.928,1000000,458.928
2000-09-23,460.02,460.02,460.02,460.02,1000000,460.02
2000-09-24,459.66,459.66,459.66,459.66,1000000,459.66
2000-09-25,457.4,457.4,457.4,457.4,1000000,457.4
2000-09-26,455.01,455.01,455.01,455.01,1000000,455.01
2000-09-27,456.0,456.0,456.0,456.0,1000000,456.0
2000-09-28,457.898,457.898,457.898,457.898,1000000,457.898
2000-09-29,456.842,456.842,456.842,456.842,1000000,456.842
2000-09-30,459.799,459.799,459.799,459.799,1000000,459.799
2000-10-01,456.412,456.412,456.412,456.412,1000000,456.412
2000-10-02,455.135,455.135,455.135,455.135,1000000,455.135
2000-10-03,456.78,456.78,456.78,456.78,1000000,456.78
2000-10-04,457.736,457.736,457.736,457.736,1000000,457.736
2000-10-05,457.998,457.998,457.998,457.998,1000000,457.998
2000-10-06,458.964,458.964,458.964,458.964,1000000,458.964
2000-10-07,458.722,458.722,458.722,458.722,1000000,458.722
2000-10-08,455.6,455.6,455.6,455.6,1000000,455.6
2000-10-09,457.676,457.676,457.676,457.676,1000000,457.676
2000-10-10,456.999,456.999,456.999,456.999,1000000,456.999
2000-10-11,456.999,456.999,456.999,456.999,1000000,456.999
2000-10-12,455.133,455.133,455.133,455.133,1000000,455.133
2000-10-13,455.508,455.508,455.508,455.508,1000000,455.508
2000-10-14,457.8,457.8,457.8,457.8,1000000,457.8
2000-10-15,459.196,459.196,459.196,459.196,1000000,459.196
2000-10-16,458.98,458.98,458.98,458.98,1000000,458.98
2000-10-17,459.357,459.357,459.357,459.357,1000000,459.357
2000-10-18,459.941,459.941,459.941,459.941,1000000,459.941
2000-10-19,456.084,456.084,456.084,456.084,1000000,456.084
2000-10-20,459.926,459.926,459.926,459.926,1000000,459.926
2000-10-21,456.639,456.639,456.639,456.639,1000000,456.639
2000-10-22,459.79,459.79,459.79,459.79,1000000,459.79
2000-10-23,458.29,458.29,458.29,458.29,1000000,458.29
2000-10-24,459.5,459.5,459.5,459.5,1000000,459.5
2000-10-25,459.999,459.999,459.999,459.999,1000000,459.999
2000-10-26,464.73,464.73,464.73,464.73,1000000,464.73
